3,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,2005,"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.",498,3.63,5901197
4,The Hating Game (Paperback),Sally  Thorne,2016,"Nemesis (n.) 1) An opponent or rival whom a person cannot best or overcome;2) A person’s undoing;3) Joshua Templeman.Lucy Hutton and Joshua Templeman hate each other. Not dislike. Not begrudgingly tolerate. Hate. And they have no problem displaying their feelings through a series of ritualistic passive aggressive maneuvers as they sit across from each other, executive assi",365,3.98,537504
5,Beach Read (Paperback),Emily Henry,2020,"A romance writer who no longer believes in love and a literary writer stuck in a rut engage in a summer-long challenge that may just upend everything they believe about happily ever afters.Augustus Everett is an acclaimed author of literary fiction. January Andrews writes bestselling romance. When she pens a happily ever after, he kills off his entire cast.They’re polar op",361,4.06,607628
8,The Love Hypothesis (Paperback),Ali Hazelwood,2021,"As a third-year Ph.D. candidate, Olive Smith doesn't believe in lasting romantic relationships--but her best friend does, and that's what got her into this situation. Convincing Anh that Olive is dating and well on her way to a happily ever after was always going to take more than hand-wavy Jedi mind tricks: Scientists require proof. So, like any self-respecting biologist,",356,4.29,724017
10,People We Meet on Vacation (Paperback),Emily Henry,2021,"Two best friends. Ten summer trips. One last chance to fall in love.Poppy and Alex. Alex and Poppy. They have nothing in common. She’s a wild child; he wears khakis. She has insatiable wanderlust; he prefers to stay home with a book. And somehow, ever since a fateful car share home from college many years ago, they are the very best of friends. For most of the year they li",373,3.97,658406
12,"Me Before You (Me Before You, #1)",Jojo Moyes,2012,"From the #1 New York Times bestselling author of The Giver of Stars, discover the love story that captured over 20 million hearts in Me Before You, After You, and Still Me.They had nothing in common until love gave them everything to lose . . .Louisa Clark is an ordinary girl living an exceedingly ordinary life—steady boyfriend, close family—who has barely been farther afi",369,4.26,1436094
14,Eleanor & Park (Hardcover),Rainbow Rowell,2012,"“Bono met his wife in high school,” Park says.“So did Jerry Lee Lewis,” Eleanor answers.“I’m not kidding,” he says.“You should be,” she says, “we’re 16.”“What about Romeo and Juliet?”“Shallow, confused, then dead.”“I love you,” Park says.“Wherefore art thou,” Eleanor answers.“I’m not kidding,” he says.“You should be.”Set over one school year in 1986, Eleanor & Park is the ",328,3.97,1066165
15,"Outlander (Outlander, #1)",Diana Gabaldon,1991,"The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743. Hurled back in t",850,4.25,957461
20,Book Lovers (Hardcover),Emily Henry,2022,"One summer. Two rivals. A plot twist they didn't see coming....Nora Stephens’ life is books—she’s read them all—and she is not that type of heroine. Not the plucky one, not the laidback dream girl, and especially not the sweetheart. In fact, the only people Nora is a heroine for are her clients, for whom she lands enormous deals as a cutthroat literary agent, and her belov",384,4.28,390789
22,Jane Eyre (Paperback),Charlotte Brontë,1847,"Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard. But there is a terrifying secret inside the gloomy, forbiddin",532,4.14,1896342
